('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         944888 function calls (920509 primitive calls) in 4.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      273    0.001    0.000    0.004    0.000 sre_compile.py:435(_mk_bitmap)
     3426    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      259    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
       65    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      170    0.001    0.000    0.009    0.000 _markupbase.py:165(parse_comment)
     3822    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2155    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      146    0.001    0.000    0.007    0.000 typing.py:1016(__init__)
      393    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      176    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      633    0.001    0.000    0.010    0.000 enum.py:359(__call__)
      415    0.001    0.000    0.002    0.000 sre_parse.py:259(getwhile)
      165    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      142    0.001    0.000    0.001    0.000 css_parser.py:369(__init__)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
  778/712    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      165    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      165    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       10    0.001    0.000    0.003    0.000 enum.py:553(<listcomp>)
      202    0.001    0.000    0.002    0.000 enum.py:986(__and__)
       20    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
       19    0.001    0.000    1.473    0.078 __init__.py:1(<module>)
      202    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
     1222    0.001    0.000    0.001    0.000 typing.py:935(_is_dunder)
      261    0.001    0.000    0.001    0.000 response.py:187(has_unconsumed_tail)
      202    0.001    0.000    0.115    0.001 sre_compile.py:622(_code)
      623    0.001    0.000    0.002    0.000 enum.py:678(__new__)
  142/137    0.001    0.000    0.007    0.000 css_parser.py:395(freeze)
    165/3    0.001    0.000    0.601    0.200 <frozen importlib._bootstrap_external>:877(exec_module)
  225/188    0.001    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
      856    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       18    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      165    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
  193/189    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      170    0.001    0.000    0.008    0.000 _htmlparser.py:269(handle_comment)
    166/1    0.001    0.000    4.292    4.292 {built-in method builtins.exec}
      501    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      329    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1436    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1050    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      202    0.001    0.000    0.001    0.000 sre_parse.py:225(__init__)
      142    0.001    0.000    0.004    0.000 css_types.py:203(__init__)
       94    0.001    0.000    0.002    0.000 typing_extensions.py:3178(_collect_type_vars)
      339    0.001    0.000    0.001    0.000 socket.py:730(readable)
       65    0.001    0.000    0.006    0.000 typing.py:483(Union)
      419    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
       86    0.001    0.000    0.002    0.000 css_parser.py:812(parse_combinator)
      216    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.001    0.001    0.001    0.001 {method 'bind' of '_socket.socket' objects}
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
      214    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
      189    0.001    0.000    0.001    0.000 sre_parse.py:85(opengroup)
      285    0.001    0.000    0.001    0.000 css_parser.py:344(match)
      153    0.001    0.000    0.002    0.000 filter.py:618(_attribute_match)
      216    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      789    0.001    0.000    0.001    0.000 sre_parse.py:82(groups)
      261    0.001    0.000    0.577    0.002 models.py:816(generate)
      199    0.001    0.000    0.003    0.000 css_types.py:360(__init__)
        1    0.000    0.000    3.691    3.691 financial.py:48(main)
      261    0.000    0.000    0.577    0.002 response.py:1231(stream)
       21    0.000    0.000    0.001    0.000 _htmlparser.py:226(handle_charref)
       64    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      176    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      176    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       54    0.000    0.000    1.020    0.019 {method 'readline' of '_io.BufferedReader' objects}
      341    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:391(cached)
       17    0.000    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      321    0.000    0.000    0.343    0.001 re.py:249(compile)
      100    0.000    0.000    0.002    0.000 enum.py:980(__or__)
       79    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       56    0.000    0.000    0.005    0.000 typing.py:1138(__getitem__)
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
      338    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      291    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      608    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      660    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      303    0.000    0.000    0.001    0.000 types.py:176(__get__)
    250/3    0.000    0.000    0.601    0.200 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       35    0.000    0.000    0.001    0.000 parse.py:444(urlsplit)
     3110    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
      338    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      217    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
      202    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      329    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       42    0.000    0.000    0.535    0.013 response.py:1346(_handle_chunk)
       94    0.000    0.000    0.001    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
       75    0.000    0.000    0.002    0.000 css_parser.py:542(parse_tag_pattern)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      268    0.000    0.000    0.001    0.000 enum.py:12(_is_descriptor)
      251    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      276    0.000    0.000    0.000    0.000 {built-in method builtins.any}
  166/165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      203    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       50    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      824    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       73    0.000    0.000    0.001    0.000 sre_parse.py:268(getuntil)
      329    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.143    0.143 dammit.py:1(<module>)
      197    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      608    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
        1    0.000    0.000    0.004    0.004 packages.py:1(<module>)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      404    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      342    0.000    0.000    0.002    0.000 typing.py:137(_type_convert)
     1171    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       73    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.003    0.003 parser.py:59(parsestr)
        7    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      653    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
       12    0.000    0.000    0.001    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.001    0.001 feedparser.py:471(_parse_headers)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
