('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855346 function calls (834383 primitive calls) in 5.671 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.004    0.004 parser.py:59(parsestr)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.273    0.273 client.py:939(connect)
       27    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      111    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      580    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      101    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.080    0.080 request.py:1(<module>)
       10    0.000    0.000    0.012    0.001 enum.py:536(_convert_)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       17    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
      208    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
       45    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:512(AddressList)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      201    0.000    0.000    0.000    0.000 typing_extensions.py:177(_should_collect_from_parameters)
        1    0.000    0.000    0.073    0.073 dammit.py:1(<module>)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      180    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      577    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       88    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      577    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.014    0.014 ssl.py:1(<module>)
       21    0.000    0.000    0.000    0.000 _htmlparser.py:226(handle_charref)
        1    0.000    0.000    0.145    0.145 ssl.py:1014(_create)
      117    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       77    0.000    0.000    0.005    0.000 _htmlparser.py:127(handle_startendtag)
        1    0.000    0.000    0.095    0.095 css_parser.py:1(<module>)
    44/29    0.000    0.000    0.127    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      193    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.000    0.000 error.py:35(HTTPError)
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       44    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
      297    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:3847(Doc)
      201    0.000    0.000    0.001    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
       10    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       49    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
