('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         944592 function calls (920275 primitive calls) in 8.976 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      285    0.000    0.000    0.001    0.000 css_parser.py:344(match)
        7    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       28    0.000    0.000    0.001    0.000 parse.py:379(urlparse)
       48    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      189    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
      517    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
      240    0.000    0.000    0.000    0.000 element.py:2355(get)
        2    0.000    0.000    0.009    0.004 request.py:1(<module>)
      688    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
        3    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      246    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      543    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      189    0.000    0.000    0.014    0.000 sre_parse.py:97(closegroup)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       63    0.000    0.000    0.495    0.008 client.py:624(_safe_read)
    33/16    0.000    0.000    0.365    0.023 {built-in method builtins.__import__}
       20    0.000    0.000    0.001    0.000 enum.py:626(_find_new_)
       15    0.000    0.000    0.000    0.000 io.py:60(__getattr__)
      519    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       50    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
        1    0.000    0.000    0.019    0.019 ssl.py:1(<module>)
       81    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      357    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       77    0.000    0.000    0.008    0.000 _htmlparser.py:127(handle_startendtag)
        1    0.000    0.000    0.124    0.124 css_parser.py:1(<module>)
       64    0.000    0.000    0.004    0.000 abc.py:105(__new__)
        2    0.000    0.000    0.005    0.002 models.py:1(<module>)
       10    0.000    0.000    0.016    0.002 enum.py:536(_convert_)
        2    0.000    0.000    0.025    0.013 connection.py:1(<module>)
       96    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       65    0.000    0.000    0.000    0.000 parse.py:122(_coerce_args)
       27    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      408    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
       20    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
      177    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      351    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       64    0.000    0.000    0.003    0.000 typing.py:1147(copy_with)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        2    0.000    0.000    0.001    0.000 request.py:2487(getproxies_environment)
      197    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       66    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
        1    0.000    0.000    0.053    0.053 url.py:1(<module>)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fcb76153490}
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      514    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      438    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      422    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       70    0.000    0.000    0.000    0.000 os.py:698(__iter__)
      411    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      242    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1394(_normalized_cookie_tuples)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        6    0.000    0.000    0.000    0.000 cookies.py:349(set_cookie)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       12    0.000    0.000    0.001    0.000 enum.py:947(_create_pseudo_member_)
        1    0.000    0.000    0.002    0.002 parser.py:59(parsestr)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
      954    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.074    0.074 dammit.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:302(decorator)
       56    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      210    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        3    0.000    0.000    0.132    0.044 exceptions.py:1(<module>)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      159    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      158    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       65    0.000    0.000    0.002    0.000 typing.py:664(__init__)
       20    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
      189    0.000    0.000    0.001    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
      204    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      189    0.000    0.000    0.000    0.000 typing_extensions.py:177(_should_collect_from_parameters)
      337    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
       12    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
       18    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       96    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
    44/32    0.000    0.000    0.017    0.001 css_parser.py:579(parse_pseudo_class)
    40/31    0.000    0.000    0.016    0.001 css_parser.py:746(parse_pseudo_open)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        8    0.000    0.000    0.001    0.000 _collections_abc.py:991(update)
