('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855433 function calls (834462 primitive calls) in 4.877 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
    44/29    0.000    0.000    0.109    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       43    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
       43    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       41    0.000    0.000    0.000    0.000 typing_extensions.py:3049(_check_generic)
       41    0.000    0.000    0.000    0.000 inspect.py:191(isclass)
    40/31    0.000    0.000    0.012    0.000 css_parser.py:746(parse_pseudo_open)
    39/32    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
       37    0.010    0.000    0.010    0.000 {method 'decode' of 'bytes' objects}
    36/35    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       35    0.000    0.000    0.002    0.000 abc.py:105(__new__)
       35    0.000    0.000    0.000    0.000 os.py:698(__iter__)
       35    0.000    0.000    0.000    0.000 _collections_abc.py:885(__iter__)
       34    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       34    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       34    0.000    0.000    0.000    0.000 os.py:759(decode)
       32    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       32    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       29    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       29    0.000    0.000    1.164    0.040 {method 'readline' of '_io.BufferedReader' objects}
       29    0.000    0.000    0.000    0.000 __init__.py:680(<genexpr>)
       29    0.000    0.000    0.000    0.000 element.py:2368(get_attribute_list)
       28    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       28    0.000    0.000    0.000    0.000 typing_extensions.py:522(_is_dunder)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:531(__setattr__)
       27    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       27    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    25/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    25/10    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       24    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       24    0.000    0.000    0.000    0.000 typing.py:2018(overload)
       22    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       22    0.000    0.000    0.000    0.000 typing.py:380(__repr__)
       22    0.000    0.000    0.002    0.000 typing.py:523(Optional)
       21    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       21    0.000    0.000    0.000    0.000 _htmlparser.py:226(handle_charref)
       21    0.000    0.000    0.000    0.000 dammit.py:1371(numeric_character_reference)
       20    0.000    0.000    0.000    0.000 typing_extensions.py:799(<genexpr>)
       20    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
    18/11    0.000    0.000    0.117    0.011 {built-in method builtins.__import__}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
